地名,センター名,燃やせるごみ,プラスチック,粗大ごみ,燃やせないごみ,有害性ごみ,ダンボール,新聞・古紙,小型家電・金属類,びん,缶・ペットボトル,雑誌・雑紙
愛宕1・2丁目,愛宕１～２丁目・落川・貝取1800番台・関戸１～４丁目・一ノ宮・桜ヶ丘３～４丁目・東寺方全域・百草・和田,月 木,火,火,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,金,金,金
落川,愛宕１～２丁目・落川・貝取1800番台・関戸１～４丁目・一ノ宮・桜ヶ丘３～４丁目・東寺方全域・百草・和田,月 木,火,火,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,金,金,金
貝取1800番台,愛宕１～２丁目・落川・貝取1800番台・関戸１～４丁目・一ノ宮・桜ヶ丘３～４丁目・東寺方全域・百草・和田,月 木,火,火,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,金,金,金
関戸1～4丁目,愛宕１～２丁目・落川・貝取1800番台・関戸１～４丁目・一ノ宮・桜ヶ丘３～４丁目・東寺方全域・百草・和田,月 木,火,火,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,金,金,金
一ノ宮,愛宕１～２丁目・落川・貝取1800番台・関戸１～４丁目・一ノ宮・桜ヶ丘３～４丁目・東寺方全域・百草・和田,月 木,火,火,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,金,金,金
桜ヶ丘3・4丁目,愛宕１～２丁目・落川・貝取1800番台・関戸１～４丁目・一ノ宮・桜ヶ丘３～４丁目・東寺方全域・百草・和田,月 木,火,火,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,金,金,金
東寺方,愛宕１～２丁目・落川・貝取1800番台・関戸１～４丁目・一ノ宮・桜ヶ丘３～４丁目・東寺方全域・百草・和田,月 木,火,火,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,金,金,金
百草,愛宕１～２丁目・落川・貝取1800番台・関戸１～４丁目・一ノ宮・桜ヶ丘３～４丁目・東寺方全域・百草・和田,月 木,火,火,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,金,金,金
和田,愛宕３～４丁目・乞田・桜ヶ丘１～２丁目・聖ヶ丘・連光寺・貝取1300～1700番台・関戸５～６丁目・馬引沢,月 木,金,金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,火,火,火
愛宕3･4丁目,愛宕３～４丁目・乞田・桜ヶ丘１～２丁目・聖ヶ丘・連光寺・貝取1300～1700番台・関戸５～６丁目・馬引沢,月 木,金,金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,火,火,火
乞田,愛宕３～４丁目・乞田・桜ヶ丘１～２丁目・聖ヶ丘・連光寺・貝取1300～1700番台・関戸５～６丁目・馬引沢,月 木,金,金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,火,火,火
桜ヶ丘1･2丁目,愛宕３～４丁目・乞田・桜ヶ丘１～２丁目・聖ヶ丘・連光寺・貝取1300～1700番台・関戸５～６丁目・馬引沢,月 木,金,金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,火,火,火
聖ヶ丘,愛宕３～４丁目・乞田・桜ヶ丘１～２丁目・聖ヶ丘・連光寺・貝取1300～1700番台・関戸５～６丁目・馬引沢,月 木,金,金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,火,火,火
連光寺,愛宕３～４丁目・乞田・桜ヶ丘１～２丁目・聖ヶ丘・連光寺・貝取1300～1700番台・関戸５～６丁目・馬引沢,月 木,金,金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,火,火,火
貝取1300～1700番台,愛宕３～４丁目・乞田・桜ヶ丘１～２丁目・聖ヶ丘・連光寺・貝取1300～1700番台・関戸５～６丁目・馬引沢,月 木,金,金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,火,火,火
関戸5･6丁目,愛宕３～４丁目・乞田・桜ヶ丘１～２丁目・聖ヶ丘・連光寺・貝取1300～1700番台・関戸５～６丁目・馬引沢,月 木,金,金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,火,火,火
馬引沢,愛宕３～４丁目・乞田・桜ヶ丘１～２丁目・聖ヶ丘・連光寺・貝取1300～1700番台・関戸５～６丁目・馬引沢,月 木,金,金,水1 水3,水1 水3,水1 水3,水2 水4,水2 水4,火,火,火
貝取1～5丁目,貝取１～５丁目・永山・諏訪・南野,火 金,木,木,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,月,月,月
永山,貝取１～５丁目・永山・諏訪・南野,火 金,木,木,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,月,月,月
諏訪,貝取１～５丁目・永山・諏訪・南野,火 金,木,木,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,月,月,月
南野,貝取１～５丁目・永山・諏訪・南野,火 金,木,木,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,月,月,月
落合,落合・鶴牧・山王下・中沢・唐木田・豊ヶ丘,火 金,月,月,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,木,木,木
鶴牧,落合・鶴牧・山王下・中沢・唐木田・豊ヶ丘,火 金,月,月,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,木,木,木
山王下,落合・鶴牧・山王下・中沢・唐木田・豊ヶ丘,火 金,月,月,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,木,木,木
中沢,落合・鶴牧・山王下・中沢・唐木田・豊ヶ丘,火 金,月,月,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,木,木,木
唐木田,落合・鶴牧・山王下・中沢・唐木田・豊ヶ丘,火 金,月,月,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,木,木,木
豊ヶ丘,落合・鶴牧・山王下・中沢・唐木田・豊ヶ丘,火 金,月,月,水2 水4,水2 水4,水2 水4,水1 水3,水1 水3,木,木,木
